S1 S2 S3 S4
33.187 42.304 30.365 28.509
87.478 49.238 51.743 53.2
44.557 15.392 54.947 14.351
98.561 44.824 44.838 98.813
97.557 20.455 55.361 107.817
93.386 53.789 46.483 37.215
95.55 47.455 58.548 28.176
84.742 55.551 42.299 38.523
84.338 50.653 33.101 66.513
89.442 21.859 56.718 17.11
99.388 55.974 63.727 188.318
99.162 17.368 52.959 21.488
86.17 45.595 59.991 61.908
59.264 52.297 45.563 41.911
91.536 45.671 37.735 91.412
71.915 13.493 59.093 47.011
33.556 49.363 53.805 78.08
97.642 53.987 55.048 11.341
96.413 50.673 64.188 15.503
96.371 24.051 55.006 40.439
75.918 50.11 48.258 18.905
63.729 18.093 55.864 44.662
86.925 54.814 59.764 17.079
36.741 48.272 47.5 76.914
90.348 44.585 60.093 23.251
82.549 15.271 51.389 30.671
83.362 22.954 62.229 41.489
90.794 51.714 63.748 103.198
55.035 49.276 43.671 11.706
99.458 18.036 52.818 32.495
74.736 15.168 47.713 14.309
94.762 18 51.599 46.205
94.947 16.458 34.975 13.472
77.012 16.269 57.933 21.075
95.919 15.14 41.183 22.719
93.887 16.379 43.653 72.561
97.301 22.867 54.045 61.482
81.531 44.535 44.131 77.858
94.789 17.277 51.749 17.687
88.93 20.489 42.951 89.838
92.699 45.815 68.356 130.865
58.912 21.123 52.455 14.457
98.8 15.663 42.52 31.058
97.417 55.965 53.041 20.651
95.116 45.37 39.184 42.379
85.558 25.701 48.76 21.296
72.851 20.167 36.653 15.072
77.955 51.166 64.634 25.963
91.496 46.612 55.754 33.98
94.313 48.979 51.88 102.752
96.955 17.211 48.099 65.427
61.953 53.592 58.281 10.002
59.549 21.661 74.531 40.975
93.142 56.369 27.796 70.667
99.773 44.815 51.293 21.831
44.904 47.159 38.51 60.389
89.386 27.242 35.732 28.138
57.017 46.878 50.277 20.746
72.681 54.707 44.135 84.07
97.275 24.595 56.647 92.993
94.578 45.955 74.53 15.617
89.884 22.615 52.997 61.182
93.786 46.881 58.456 46.565
97.996 50.809 48.314 18.908
83.298 42.915 48.75 89.408
53.537 21.964 51.837 26.07
95.765 11.576 32.548 60.291
89.167 12.676 63.592 20.016
88.763 50.138 38.469 25.501
92.945 22.265 42.765 72.534
81.794 20.412 56.224 53.286
98.674 45.283 56.041 75.071
80.256 56.929 51.877 74.433
76.59 53.344 43.78 31.574
83.122 14.818 48.729 31.593
53.178 16.136 50.859 81.613
48.043 19.958 48.79 23.666
97.676 20.462 61.678 92.533
98.1 23.125 40.362 79.522
65.162 48.019 58.432 116.755
76.895 21.534 65.455 80.243
95.058 14.358 54.769 17.05
92.079 19.312 47.208 94.51
91.195 46.948 54.536 24.821
89.473 24.117 59.01 53.056
92.427 43.455 56.889 102.389
89.983 53.16 52.734 23.804
87.177 20.856 70.53 76.66
81.504 49.211 67.828 20.415
80.232 17.073 41.12 25.801
85.861 19.14 73.64 25.679
62.458 27.304 54.987 103.571
91.099 49.571 62.181 29.61
42.911 54.12 33.276 124.952
87.406 48.658 47.553 86.648
97.655 15.42 67.764 42.781
79.587 53.327 54.207 10.251
92.643 17.615 49.445 64.336
83.468 24.11 63.105 56.597
87.945 36.531 51.836 51.818
97.244 58.857 36.714 89.643
93.125 53.842 55.14 48.325
91.888 46.55 38.187 31.728
95.184 21.169 24.335 54.797
92.825 51.185 41.494 20.503
91.848 49.884 43.937 36
90.119 16.255 62.034 29.975
91.103 48.791 40.119 45.881
63.403 19.283 58.521 36.105
69.269 18.804 44.641 45.477
94.936 25.669 44.464 40.317
94.198 52.534 40.467 10.558
59.681 49.646 41.991 55.594
90.775 39.256 25.138 17.458
89.454 20.861 55.289 11.083
99.045 26.911 60.33 129.388
85.312 50.609 65.196 20.355
26.837 55.368 44.444 45.171
73.272 51.222 61.17 62.143
55.155 21.528 39.253 124.034
47.309 48.897 51.739 12.142
71.455 50.747 54.046 86.612
99.541 49.132 26.328 49.379
90.947 23.419 47.484 92.586
86.906 50.556 56.865 66.232
99.159 25.313 59.468 27.972
95.941 53.655 64.704 50.047
93.417 14.947 49.125 139.9
78.696 48.97 38.895 37.13
99.773 16.154 35.667 109.654
95.467 52.649 60.274 20.888
88.493 16.821 71.39 28.624
81.196 16.685 54.564 16.837
58.485 20.159 46.853 10.928
51.81 49.32 62.659 53.288
37.619 50.362 60.966 17.844
96.764 52.826 49.283 34.541
56.539 49.401 47.634 21.675
88.364 17.485 66.261 107.892
83.756 21.826 50.506 22.928
88.04 15.924 48.325 83.383
76.275 48.135 51.106 61.089
95.296 15.579 40.999 138.369
96.16 14.473 45.782 23.228
94.95 48.78 55.989 71.038
81.234 16.231 16.94 18.404
63.944 55.613 52.839 85.306
63.867 54.902 42.916 73.852
84.655 51.714 48.452 44.068
88.981 49.691 44.61 50.328
55.884 45.312 36.032 92.727
98 51.287 47.959 47.221
61.747 12.07 39.97 34.703
80.765 59.357 44.969 13.038
36.377 16.591 42.703 62.805
83.376 49.206 46.718 93.148
87.508 45.989 55.541 18.71
94.324 51.744 47.247 11.094
82.902 46.977 54.72 58.33
71.178 47.076 60.766 41.988
98.441 49.319 65.831 60.126
90.544 48.872 39.978 27.827
17.002 49.348 51.678 35.798
84.782 20.393 45.421 11.33
67.351 46.819 54.609 29.038
81.039 19.818 48.655 49.987
69.232 54.33 54.604 44.993
45.275 15.236 43.199 18.835
88.728 14.577 59.262 62.245
91.557 50.527 39.206 19.063
87.548 17.032 65.198 11.158
76.072 53.293 48.792 30.163
95.444 50.639 53.54 13.453
95.766 17.79 70.729 94.982
62.585 21.283 42.788 76.273
98.679 49.844 62.156 38.977
72.035 44.866 53.437 40.157
95.396 49.305 47.785 118.031
88.259 47.348 51.416 134.846
82.834 16.871 59.862 84.383
69.849 47.824 37.827 68.808
73.038 19.83 47.277 21.176
97.172 46.89 60.571 95.921
41.07 51.876 69.46 32.324
62.046 50.299 51.714 19.465
80.674 10.683 45.252 65.139
82.351 46.565 54.489 21.068
90.891 44.27 58.637 53.61
91.354 46.463 43.877 21.988
61.905 20.553 58.113 13.24
68.886 47.38 52.455 61.252
64.025 17.415 43.355 65.692
97.474 22.495 45.424 106.601
98.5 45.299 44.926 37.402
89.498 21.094 39.033 25.355
96.514 24.188 45.846 37.263
99.147 52.789 31.483 80.271
77.674 48.995 34.958 85.446
85.566 24.674 60.113 58.73
66.129 21.41 51.119 50.012
85.162 46.981 61.856 128.346
90.748 17.71 63.778 18.188
48.38 39.787 53.339 55.49
91.204 23.743 47.424 11.864
79.492 21.02 44.066 22.326
96.028 24.495 59.22 64.003
97.627 18.968 50.204 24.913
65.987 22.256 26.578 48.138
81.047 11.558 40.924 105.886
87.854 50.856 60.661 26.098
57.372 52.211 58.456 122.13
98.216 42.686 44.358 22.277
80.211 14.984 37.517 41.142
88.603 43.991 59.848 13.844
43.112 14.912 23.808 87.277
86.3 19.927 60.313 83.542
85.409 48.013 35.911 48.965
91.672 47.754 26.542 63.899
93.23 53.883 54.495 33.023
76.954 15.314 47.202 14.486
87.546 17.705 57.021 33.635
99.975 23.506 55.857 18.26
93.256 51.032 74.702 31.866
99.736 53.545 53.634 35.581
67.841 22.952 47.243 42.815
78.705 19.618 34.118 46.867
92.899 53.547 53.686 70.09
86.877 26.66 64.38 34.256
58.48 15.129 54.83 20.856
91.972 55.438 53.36 40.116
