rx.kbps	rx.pps	tx.kbps	tx.pps
0	0	0	0
40	5	4	6
320	27	12	27
776	65	20	49
972	83	24	55
1146.88	96	32	72
948	82	24	60
1146.88	96	32	77
1228.8	103	32	70
784	68	16	40
1044.48	88	32	78
932	80	24	58
1157.12	97	28	68
956	82	32	78
1105.92	93	28	68
808	70	24	56
832	72	20	50
936	81	32	71
1177.6	99	36	82
1095.68	92	28	63
1064.96	90	24	59
1290.24	108	32	75
920	79	24	57
1320.96	258	1372.16	206
824	212	1064.96	151
1146.88	240	1105.92	154
892	219	1075.2	139
1105.92	233	1075.2	150
1095.68	234	1085.44	147
700	202	1054.72	119
748	207	1075.2	134
596	194	1064.96	126
1249.28	247	1085.44	155
960	225	1075.2	141
1064.96	233	1095.68	151
724	205	1075.2	137
856	217	1075.2	139
1136.64	231	1044.48	144
1167.36	238	1064.96	146
1075.2	223	1024	135
1167.36	242	1085.44	150
1085.44	233	1075.2	139
1208.32	244	1085.44	145
1095.68	234	1085.44	147
904	221	1085.44	144
788	178	692	109
1085.44	93	24	58
956	82	24	54
1177.6	99	24	55
1167.36	98	32	70
1085.44	91	28	60
1085.44	91	28	62
540	48	16	34
528	46	16	32
652	57	20	44
652	57	16	37
652	57	16	39
572	50	16	37
1126.4	95	28	62
1208.32	102	28	68
924	80	24	57
984	85	28	61
912	243	1474.56	178
996	227	1085.44	134
748	204	1064.96	131
700	201	1064.96	136
720	199	1054.72	134
648	196	1054.72	124
728	208	1085.44	132
732	200	1044.48	120
708	204	1075.2	128
808	210	1064.96	141
620	154	784	109
680	202	1075.2	124
856	215	1075.2	141
684	203	1085.44	131
764	200	1044.48	134
1054.72	228	1064.96	145
676	201	1064.96	121
724	205	1054.72	121
792	204	1044.48	134
940	219	1054.72	135
1064.96	231	1075.2	146
992	227	1075.2	142
1249.28	245	1075.2	156
660	199	1075.2	130
760	209	1085.44	132
720	205	1075.2	133
696	204	1075.2	132
724	200	1054.72	129
724	205	1064.96	121
724	206	1075.2	137
944	223	1075.2	144
952	225	1075.2	128
572	192	1054.72	110
276	167	1054.72	105
572	194	1085.44	127
676	200	1064.96	125
696	206	1085.44	130
724	207	1075.2	128
696	200	1044.48	128
696	206	1095.68	127
808	211	1064.96	137
704	205	1085.44	137
724	205	1064.96	133
676	202	1064.96	125
716	198	1044.48	131
780	211	1075.2	135
1085.44	228	1064.96	147
844	214	1075.2	136
744	207	1075.2	133
700	200	1044.48	131
720	207	1095.68	135
668	201	1075.2	130
724	205	1064.96	121
804	213	1085.44	139
996	227	1064.96	136
880	220	1075.2	124
744	206	1064.96	135
724	205	1085.44	134
724	206	1064.96	132
724	206	1075.2	132
792	211	1075.2	135
696	204	1085.44	132
688	203	1075.2	131
408	179	1064.96	117
76	152	1064.96	90
76	152	1064.96	90
76	149	1044.48	88
76	155	1085.44	91
76	151	1064.96	90
76	151	1054.72	89
72	149	1044.48	89
76	155	1085.44	92
76	152	1054.72	90
76	153	1075.2	90
76	151	1064.96	91
76	151	1044.48	89
76	154	1075.2	90
76	151	1054.72	90
76	152	1064.96	90
72	146	1044.48	89
76	151	1064.96	89
76	149	1054.72	90
76	152	1064.96	90
76	153	1064.96	91
76	150	1054.72	89
76	153	1075.2	90
76	153	1064.96	90
76	152	1064.96	91
76	152	1064.96	89
76	152	1064.96	90
52	105	596	54
4	4	4	4
4	2	0	2
4	2	0	2
4	2	0	2
4	2	0	2
40	81	792	74
72	149	1064.96	90
76	150	1064.96	91
72	148	1034.24	88
76	151	1064.96	89
76	150	1054.72	89
76	151	1054.72	89
72	148	1054.72	89
76	152	1064.96	89
76	151	1064.96	89
