S1 S2 S3
289 332 230
314 699 232
287 634 198
270 285 215
311 539 325
369 280 227
323 284 339
302 610 306
310 272 289
271 318 308
300 177 230
347 384 197
314 104 236
298 186 194
284 213 302
324 229 318
312 190 202
316 533 230
319 338 198
325 116 276
298 291 193
283 196 317
325 365 325
302 268 216
287 237 330
348 385 333
268 245 324
264 209 300
304 225 207
290 260 197
294 268 206
267 581 301
261 162 299
316 126 198
322 210 303
279 216 211
312 177 333
234 181 200
317 344 224
315 165 348
263 235 241
279 183 323
361 619 284
285 281 229
304 249 318
226 210 234
305 226 294
307 946 247
321 191 326
324 179 189
254 200 349
328 222 234
302 157 282
333 234 247
310 405 316
304 213 200
274 333 299
204 230 322
301 326 287
243 296 319
330 153 223
271 324 362
336 273 355
320 228 264
320 220 295
302 223 222
278 249 181
324 317 198
268 378 214
321 336 225
241 286 218
338 369 258
323 343 283
299 145 239
388 513 201
302 234 367
262 568 327
287 619 336
325 461 323
275 352 216
293 702 324
322 159 372
308 185 334
313 487 245
315 149 205
285 241 186
310 335 188
326 139 213
334 129 214
331 179 226
262 248 300
316 121 345
282 176 198
264 471 313
299 228 230
303 183 322
287 313 339
269 269 238
305 303 239
339 388 225
343 278 363
349 251 306
277 62 368
290 620 345
305 487 299
300 594 336
303 201 363
360 617 269
277 231 326
303 213 295
308 227 209
307 564 181
299 286 221
297 676 220
278 235 289
325 256 230
279 271 237
302 216 239
299 283 204
321 238 323
311 275 331
266 343 229
294 116 212
311 619 232
287 554 204
307 246 231
338 130 336
282 278 240
307 212 206
333 411 295
339 616 289
283 387 226
272 530 212
321 303 206
267 292 205
253 679 318
344 79 191
289 276 335
253 450 220
304 221 295
299 222 205
321 478 219
287 610 314
304 147 185
270 271 300
327 436 217
268 241 195
349 373 308
312 300 285
326 349 236
341 590 323
259 257 196
305 303 352
269 234 228
275 504 274
316 305 324
260 257 206
310 285 391
328 723 327
253 587 299
275 290 210
298 590 303
259 232 243
313 481 235
283 190 224
270 559 313
315 284 230
259 694 294
366 543 222
286 392 279
374 301 290
247 274 340
319 296 205
280 687 337
263 404 314
294 211 216
256 521 209
307 678 199
257 290 334
260 320 352
311 438 186
337 297 202
217 224 370
323 582 250
284 264 346
333 196 230
282 167 197
295 305 243
259 217 356
296 314 307
280 437 322
333 279 341
299 225 310
280 528 340
304 260 220
279 473 329
313 387 312
360 210 324
285 152 326
295 265 316
