A B C D E F
21.6742443979307 21.4848826964992 17.5858685012292 21.2681764403041 18.6444200846714 21.7863088359375
17.8970359144881 24.3234866060768 20.5548584842213 20.0186282066181 18.6600118462909 19.5632038161766
18.2169530493937 20.4478594152942 22.1688823533661 20.1189042552935 16.2553962282466 20.9149837342612
19.0790654970638 19.4955496305071 15.3086045947413 21.9191788820117 18.6524256591719 19.4938055440153
18.0084898855565 20.4885928664335 20.8582493776221 19.612559506125 20.7004645142438 18.6850035321767
18.0472285231919 23.1656266722151 21.0121117843151 18.1035901792271 20.3952174233365 21.1674731993825
17.8390227110374 18.7920883948736 18.8505200797307 22.1495114418015 20.0999947021822 18.5093384343881
17.6220211715416 22.5517407691349 18.9067362884316 18.9526885540722 18.1945360491048 21.1704634691394
18.714257821519 22.4943471861735 18.8710960018134 20.9697233992716 18.616812459043 21.6374206525371
18.7547250641 21.0047091958057 18.2199243419118 19.1281027976632 16.610944240795 20.6197372078222
16.7909531147971 20.5103392576629 19.0456146004929 23.2045950924005 18.8936823625134 20.2601634532094
18.626886112966 19.8167968927579 18.0032271102806 20.0488138422619 19.5103920019917 19.1273256209856
17.8366655633598 19.9502141006891 18.447492210724 19.581119924975 22.4119280144802 17.9755819215032
17.977556985762 21.4724298512547 20.1289176345525 19.9974838788105 21.0030265047269 22.8731855066376
19.2565357146648 23.6054062919964 21.9189881179415 17.7418130618426 18.0088331139971 20.8059063151901
20.3445837284918 20.2699023812995 19.7794290112185 18.6647614758116 19.7111005939995 22.8278515432671
21.9717262092226 18.4139485799478 18.9779809883867 16.6399207021027 16.7307839129323 17.6392803716394
18.3399698640845 19.4146273343348 18.1776091667404 18.3180136157999 20.7564072539046 21.1725660344154
21.9088644432859 20.8873926432518 18.3256566394621 20.4114122824726 20.9458335067522 22.4329157673692
17.7632871784584 20.0244113275582 24.8316703569787 20.0682049191878 23.2422342107514 20.6843090588787
